// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 100
W = 50
SIGMA = 1
K = 5
A = 0.363636
SD = 1
SI = 1
SM = 1
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=3);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=3);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
132 late  3156 631 4.1372 3.4716 6.07574 4.25872 1.06179 7.25235
133 early 3929 773 4.1265 4.3219 6.04134 4.34467 1.05803 7.30365
133 late  3140 598 4.17739 3.454 6.0112 4.34827 1.07102 7.30521
134 early 3926 786 4.14086 4.3186 5.96595 4.29966 1.05298 7.35681
134 late  3177 642 4.16053 3.4947 5.96048 4.32713 1.05666 7.35877
135 early 3956 779 4.14434 4.3516 5.995 4.36503 1.04904 7.4121
135 late  3177 629 4.13912 3.4947 6.00333 4.38306 1.04407 7.41373
136 early 3969 792 4.11363 4.3659 5.95908 4.36632 1.04611 7.46637
136 late  3186 638 4.12272 3.5046 5.92834 4.33175 1.04991 7.468
137 early 3986 800 4.09458 4.3846 5.91811 4.32593 1.01856 7.51906
137 late  3234 646 4.10173 3.5574 5.93076 4.40474 1.01639 7.52094
138 early 3972 738 4.15383 4.3692 5.88666 4.36206 1.04632 7.57159
138 late  3200 577 4.13812 3.52 5.88839 4.39642 1.05156 7.57314
139 early 4025 825 4.08497 4.4275 5.99411 4.38329 1.02286 7.62264
139 late  3219 640 4.11432 3.5409 6.00685 4.45075 1.0292 7.62418
140 early 4018 799 4.09731 4.4198 5.99915 4.39793 1.04107 7.67582
140 late  3235 655 4.07233 3.5585 5.99752 4.41468 1.02473 7.67747
141 early 4050 815 4.0516 4.455 6.05616 4.4661 1.00025 7.72907
141 late  3180 645 4.01164 3.498 6.09503 4.55193 0.97327 7.73092
142 early 3898 718 4.08851 4.2878 5.94268 4.26766 1.00282 7.77997
