// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 30
BURNIN = 200
W = 50
SIGMA = 1.5
K = 5
A = 0.444444
SD = 1.5
SI = 1.5
SM = 1.5
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=4.5);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=4.5);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
139 early 4156 753 4.16627 3.7404 5.68117 3.86026 1.00866 13.8294
139 late  3333 599 4.22652 2.9997 5.66796 3.87201 1.0159 13.8303
140 early 4195 862 4.15256 3.7755 5.67915 3.88811 1.01025 13.923
140 late  3364 691 4.18312 3.0276 5.72405 3.98388 1.02527 13.9239
141 early 4146 782 4.2055 3.7314 5.59354 3.87693 1.02243 14.0132
141 late  3355 643 4.22921 3.0195 5.64665 3.97422 1.02891 14.0143
142 early 4154 799 4.2234 3.7386 5.70179 3.8792 1.04887 14.107
142 late  3334 646 4.26455 3.0006 5.71404 3.91832 1.05819 14.1079
143 early 4161 827 4.21822 3.7449 5.69124 3.88251 1.05071 14.199
143 late  3330 661 4.25556 2.997 5.75045 3.97627 1.07177 14.2
144 early 4122 792 4.24575 3.7098 5.73529 3.86221 1.05871 14.2908
144 late  3285 620 4.2761 2.9565 5.73009 3.87964 1.05845 14.2917
145 early 4088 803 4.23973 3.6792 5.56771 3.81917 1.03963 14.3803
145 late  3310 641 4.25317 2.979 5.57321 3.85133 1.03112 14.3812
146 early 4132 822 4.20813 3.7188 5.58052 3.79805 1.03122 14.4713
146 late  3366 673 4.20291 3.0294 5.6006 3.84595 1.02317 14.4721
147 early 4210 844 4.15986 3.789 5.68297 3.85641 1.02494 14.5658
147 late  3387 685 4.17183 3.0483 5.75455 3.94422 1.04074 14.5667
148 early 4231 844 4.14016 3.8079 5.83567 3.89834 1.03096 14.6606
148 late  3395 693 4.15582 3.0555 5.82784 3.93349 1.03299 14.6619
149 early 4202 807 4.16564 3.7818 5.76004 3.83173 1.03855 14.7545
149 late  3390 637 4.23304 3.051 5.80708 3.97559 1.05398 14.7554
150 early 4201 811 4.2228 3.7809 5.809 3.96141 1.05475 14.8497
150 late  3406 665 4.20875 3.0654 5.83291 3.9905 1.03905 14.8506
151 early 4221 815 4.20303 3.7989 5.90629 3.94921 1.02985 15.0938
